original_name,matched_name,latitude,longitude,type,score,status,correction
"Le Châtaignier","Le Chataignier 35340 La Bouëxière",,,"street",0.7886354545454545,excluded,"NOK"
"Monceau-les-Provins","Montceaux-lès-Provins",48.694647,3.444531,"municipality",0.603100909090909,found,""
"Montmirail","31 Rue Montmirail 17000 La Rochelle",48.871575,3.537796,"housenumber",0.7475790909090908,corrected,"48.871575, 3.537796"
"Dormans","Dormans",49.07008,3.64217,"municipality",0.6373069696969696,found,""
"Château-Thierry","33 Rue Château Thierry 33700 Mérignac",49.039064,3.399267,"housenumber",0.8000489177489177,corrected,"49.039064, 3.399267"
"Muizon","Muizon",49.274676,3.893424,"municipality",0.5979054545454544,found,""
"Loivre","Loivre",49.345410,3.979899,"municipality",0.5962472727272727,corrected,"49.345410, 3.979899"
"bois de Brimont","Chemin du Bois de Brion 71210 Torcy",49.340873,4.024420,"street",0.444590404040404,corrected,"49.340873, 4.024420"
"bois du Chauffour","Chemin du Bois de Chauffour 77970 Pécy",,,"street",0.5857425974025974,excluded,"NOK"
"route 44","38 Route de Béac 44600 Saint-Nazaire",49.330569,3.963733,"housenumber",0.4975740692640692,corrected,"49.330569, 3.963733"
"Cauroy","Cauroy",49.348871,3.923422,"municipality",0.5870381818181818,corrected,"49.348871, 3.923422"
"Godat","Rue Goda 51400 Baconnes",49.350942,3.926699,"street",0.38948636363636363,corrected,"49.350942, 3.926699"
"Potence","La Potence 61260 Val-au-Perche",,,"street",0.6135323966942149,excluded,"NOK"
"La Neuville","La Neuville 62390 Auxi-le-Château",49.286986,4.006985,"street",0.7372797902097902,corrected,"49.286986, 4.006985"
"Sapigneul","Rue de Sapigneul 02190 Condé-sur-Suippe",49.419886,3.95008,"street",0.5123161497326203,review,""
"Canal de l'Aisne à la Marne","Chemin du Canal de Perrin 97111 Morne-à-l'Eau",49.300994,4.012235,"street",0.35852,corrected,"49.300994, 4.012235"
"Berry-au-Bac","Berry-au-Bac",49.401196,3.900366,"municipality",0.7392166233766233,found,""
"Jonchery","Jonchery",49.159089,4.460902,"municipality",0.6625972727272726,corrected,"49.159089, 4.460902"
"Arras","47 Rue d'Arras 59000 Lille",50.623112,3.067756,"housenumber",0.5636686713286713,review,""
"Aix-Noulette","Aix-Noulette",50.424788,2.712577,"municipality",0.7468984415584414,found,""
"Fosseux","Fosseux",50.255075,2.563621,"municipality",0.6231569696969697,found,""
"Montenescourt","Montenescourt",50.292663,2.62819,"municipality",0.7500181818181818,found,""
"Grand-Servin","Rue Roland Dervin 51170 Fismes",50.406556,2.632837,"street",0.319988023715415,corrected,"50.406556, 2.632837"
"Neuville-Saint-Waast","Neuville-Saint-Vaast",50.355266,2.757333,"municipality",0.6725630303030303,found,""
"Houvin-Houvigneul","Houvin-Houvigneul",50.296927,2.375757,"municipality",0.7855993301435406,found,""
"Souchez","Souchez",50.391452,2.742954,"municipality",0.6369242424242424,found,""
"Sibiville","Sibiville",50.297963,2.322613,"municipality",0.6778479338842975,corrected,"50.297963, 2.322613"
"Sericourt","Séricourt",50.294002,2.315184,"municipality",0.6738533884297521,found,""
"bois de la Folie","Les Bois de la Folie 89160 Jully",,,"street",0.7127806926406925,excluded,"NOK"
"carrefour des Cinq-Chemins","Carrefour des Cinq Chemins 69130 Écully",,,"locality",0.8543874025974026,excluded,"NOK"
"Roclincourt","Roclincourt",50.324194,2.785556,"municipality",0.7246288811188811,found,""
"Xe","",,,"",,excluded,"NOK"
"Rebreuviette","Rebreuviette",50.262733,2.365155,"municipality",0.7344975324675325,found,""
"Frévent","Frévent 61260 Val-au-Perche",50.275987,2.289769,"street",0.6429233333333333,corrected,"50.275987, 2.289769"
"Guillaucourt (Somme","Guillaucourt",49.842844,2.630147,"municipality",0.5221718181818181,found,""
"Foucaucourt","Rue de Foucaucourt 80980 Dompierre-Becquincourt",49.905008,2.791116,"street",0.5621085167464114,review,""
"Lamotte-en-Santerre","Rue Lamotte en Santerre 76620 Le Havre",50.189115,1.822178,"street",0.7725015151515151,corrected,"50.189115, 1.822178"
"Herleville","Herleville",49.863216,2.750625,"municipality",0.7007927272727272,found,""
"Maucourt","Maucourt",49.635263,3.072807,"municipality",0.6561863636363635,found,""
"Lihons","Lihons",49.824348,2.76573,"municipality",0.5910963636363635,found,""
"Gentelles","Gentelles",49.843523,2.454602,"municipality",0.6855052066115702,found,""
"Rouvroy-en-Santerre","Rouvroy-en-Santerre",49.769342,2.710255,"municipality",0.8148090909090908,found,""
"Roye","Roye",49.698122,2.781098,"municipality",0.4889027272727272,found,""
"Rouvroy","Rouvroy",50.398005,2.904972,"municipality",0.6422878787878787,found,""
"Saint-Bandry","Saint-Bandry",49.371079,3.164861,"municipality",0.7342602597402597,found,""
"Cœuvres","Rue de Coeuvres 02290 Montigny-Lengrain",49.394364,3.114189,"street",0.49387545454545456,review,""
"Laversine","Laversine",49.351973,3.170574,"municipality",0.679203388429752,found,""
"Soissons","Soissons",49.377401,3.327152,"municipality",0.6780227272727272,found,""
"Villers-Cotterêts","Villers-Cotterêts",49.250899,3.088746,"municipality",0.8025911483253588,found,""
"Sainte- Menehould","Sainte-Menehould",49.099215,4.936022,"municipality",0.790470303030303,found,""
"Verdun","verdun 91520 Égly",49.160338,5.386239,"street",0.6223881818181818,corrected,"49.160338, 5.386239"
"Triaucourt","Route de Triaucourt 55250 Vaubecourt",48.935865,5.111092,"street",0.48619454545454543,review,""
"Dugny","Dugny",,,"municipality",0.557075974025974,excluded,"NOK"
"caserne Bévaux","Impasse de La Caserne 23110 Évaux-les-Bains",,,"street",0.3379012121212121,excluded,"NOK"
"Vaux","83 Les Vaux 35420 Louvigné-du-Désert",49.209695,5.471444,"housenumber",0.5805127272727273,corrected,"49.209695, 5.471444"
"Hardaumont","Haraumont 28190 Saint-Luperce",49.216005,5.469855,"street",0.5232177622377622,corrected,"49.216005, 5.469855"
"vallée Levoncourt","Ruelle 55260 Levoncourt",,,"street",0.5538809917355372,excluded,"NOK"
"Douaumont","Rue Douaumont 69100 Villeurbanne",49.207500,5.424653,"street",0.6504864935064936,corrected,"49.207500, 5.424653"
"bois de la Caillette","Rue de la Caillette 17580 Le Bois-Plage-en-Ré",,,"street",0.5896545454545454,excluded,"NOK"
"Sainte-Catherine","88 Rue Sainte-Catherine 33000 Bordeaux",,,"housenumber",0.8210725619834711,excluded,"NOK"
"Belleray","Belleray",49.131971,5.396004,"municipality",0.6595172727272726,found,""
"Nixéville","Chemin de Nixeville 55100 Landrecourt-Lempire",49.098643,5.31278,"street",0.43687999999999994,review,""
"Nançois-le-Petit","le Petit Sange 18330 Nançay",48.732958,5.324672,"street",0.3987440067340067,corrected,"48.732958, 5.324672"
"Spada","Spadda 20122 Quenza",,,"locality",0.47650454545454546,excluded,"NOK"
"Ambly-sur-Meuse","Ambly-sur-Meuse",49.019567,5.443324,"municipality",0.7686567379679143,found,""
"Eparges","Epargé 35690 Acigné",49.065075,5.595518,"street",0.5536286868686869,corrected,"49.065075, 5.595518"
"Troyon","Troyon 29710 Peumerit",48.999075,5.465783,"street",0.6041254545454544,corrected,"48.999075, 5.465783"
"La Selouse","La Selousière 53200 Gennes-Longuefuye",,,"street",0.4854790909090909,excluded,"NOK"
"Vaux-Chapitre","Chemin du Faux Chapitre 28150 Les Villages Vovéens",,,"street",0.42044993006993003,excluded,"NOK"
"Fausses-Côtes","Les Fausses Vannes 21150 Hauteroche",,,"locality",0.3738066798418972,excluded,"NOK"
"tranchée Deleau","99 Rue de la Tranchée 86000 Poitiers",,,"housenumber",0.5613815151515151,excluded,"NOK"
"ravins du Bazil","100 Rue Marius Bazile 27130 Verneuil d'Avre et d'Iton",,,"housenumber",0.3734780519480519,excluded,"NOK"
"Souville","A Souville 32300 Saint-Arroman",49.186405,5.439693,"locality",0.6263078787878786,corrected,"49.186405, 5.439693"
"Bezonvaux","Bezonvaux",49.229,5.475,"municipality",0.606060606060606,found,""
"Marceau","103 Rue Marceau 91120 Palaiseau",,,"housenumber",0.7145151948051948,excluded,"NOK"
"Plume","La Plume 15400 Riom-ès-Montagnes",,,"street",0.4912427272727273,excluded,"NOK"
"Damloup","Damloup",49.20199,5.491666,"municipality",0.562550909090909,found,""
"ravin du Bazil","106 Rue Marius Bazile 27130 Verneuil d'Avre et d'Iton",,,"housenumber",0.34101051948051947,excluded,"NOK"
"Fontaines","Fontaines",,,"municipality",0.6352569696969697,excluded,"NOK"
"Chambouillat","En Chambouille 39360 Chassal-Molinges",,,"street",0.542449595959596,excluded,"NOK"
"Grands-Houyers","",49.212991,5.466988,"",,corrected,"49.212991, 5.466988"
"Woëvre","la Woevre 55140 Vaucouleurs",48.582241,5.676766,"street",0.5325514049586776,review,""
"bois de la Plume","Rue du Bois la Plume 10230 Mailly-le-Camp",,,"street",0.6341344664031621,excluded,"NOK"
"bois de la Haute-Charrière","Rue de la Charrière des Bois 95780 La Roche-Guyon",,,"street",0.5832872727272727,excluded,"NOK"
"Lahile","Lahile 47180 Couthures-sur-Garonne",,,"locality",0.5300750505050504,excluded,"NOK"
"Gondrecourt","Gondrecourt-Aix",49.245832,5.767717,"municipality",0.5237359595959595,found,""
"Lunéville","Lunéville",48.593492,6.497808,"municipality",0.6455842424242423,found,""
"Marats-la-Grande","Rue du Marais 59680 Ferrière-la-Grande",48.881273,5.210529,"street",0.4072689898989899,corrected,"48.881273, 5.210529"
"Condé-en-Barrois","Chemin de Louppy à Condé En Barro 55000 Les Hauts-de-Chée",48.866124,5.160414,"locality",0.3719476167076167,found,""
"Tréveray","Tréveray 22150 Plœuc-L'Hermitage",48.591446,5.357196,"street",0.6233487603305785,corrected,"48.591446, 5.357196"
"Saint-Amand","119 Rue Saint Amand 76490 Rives-en-Seine",48.625804,5.387022,"housenumber",0.7600770707070706,corrected,"48.625804, 5.387022"
"Void","120 Voie 2430 83000 Toulon",48.686774,5.618417,"housenumber",0.48299496503496503,corrected,"48.686774, 5.618417"
"Serres","Serres 84200 Carpentras",48.691533,6.464948,"street",0.5501941414141414,corrected,"48.691533, 6.464948"
"Maixe","Maixe",48.643743,6.441884,"municipality",0.4768754545454545,found,""
"Deuxville","Deuxville",48.617333,6.454645,"municipality",0.6281969696969696,found,""
"Crévic","Crévic",48.639187,6.405629,"municipality",0.5312077777777778,found,""
"Pont-Saint-Vincent","Pont-Saint-Vincent",48.606575,6.096068,"municipality",0.7649743722943723,found,""
"La Ferté-Gaucher","La Ferté Gaucher 77320 La Ferté-Gaucher",48.781325,3.305744,"locality",0.7543560765550238,found,""
"Sézanne","Sézanne",48.718482,3.721712,"municipality",0.5788763636363636,found,""
"Blesmes","Blesmes",49.038311,3.44725,"municipality",0.5684854545454544,found,""
"Courboin","Courboin 37340 Avrillé-les-Ponceaux",48.993472,3.504603,"street",0.6065560330578512,corrected,"48.993472, 3.504603"
"Montbazin","Montbazin",48.983915,3.518593,"municipality",0.6373151515151514,corrected,"48.983915, 3.518593"
"Épieds","Epieds 77120 Beautheil-Saints",49.105085,3.444525,"street",0.5502159595959596,corrected,"49.105085, 3.444525"
"Villers-sur-Fère","Villers-sur-Fère",49.178471,3.531405,"municipality",0.7411360765550239,found,""
"Villemoyenne","Villemoyenne 02130 Fère-en-Tardenois",49.178471,3.501001,"street",0.7041875757575756,review,""
"Dravegny","Dravegny",49.232244,3.639633,"municipality",0.595815123966942,found,""
"Vesle","135 Rue de Vesle 51100 Reims",49.252124,4.02529,"housenumber",0.557860303030303,review,""
"Baslieux-lès-Fismes","Baslieux-lès-Fismes",49.325127,3.711741,"municipality",0.7653698347107438,found,""
"Villette","Villette 60700 Pont-Sainte-Maxence",49.292206,3.715005,"street",0.630594214876033,corrected,"49.292206, 3.715005"
"Arcis-le-Ponsart","Arcis-le-Ponsart",49.235162,3.694881,"municipality",0.7384815311004784,found,""
"Chamigny","Chamigny",48.977834,3.150625,"municipality",0.6065560330578512,found,""
"Bussières","140 La Bussière 18250 Neuvy-Deux-Clochers",48.920057,3.242734,"housenumber",0.7005657575757575,corrected,"48.920057, 3.242734"
"Bassevelles","Bassevelle",48.92371,3.273313,"municipality",0.6065174025974026,found,""
"Tanqueux","Rue de Tanqueux 77260 Chamigny",48.967906,3.145432,"street",0.4750311229946524,review,""
"Vierzy","Vierzy",49.292103,3.27317,"municipality",0.527069595959596,found,""
"Couvrelles","Couvrelles",49.335569,3.486741,"municipality",0.6479815384615384,found,""
"Augy","Augy",49.338168,3.513984,"municipality",0.41585857142857136,corrected,"49.338168, 3.513984"
"Vasseny","Vasseny",49.353446,3.486606,"municipality",0.5647009090909091,found,""
"Chemin des Dames","147 Chemin des Dames 34590 Marsillargues",49.438233,3.667390,"housenumber",0.9568054545454545,corrected,"49.438233, 3.667390"
"la ferme Certeaux","148 Route du Certeau 38290 Frontonas",,,"housenumber",0.40312194805194806,excluded,"NOK"
"Ailette","Rue de l'Ailette 60200 Compiègne",,,"street",0.40494353535353533,excluded,"NOK"
"quartier Berthier","Square berthier 13011 Marseille",,,"street",0.48287533596837945,excluded,"NOK"
"Dragonne","Le Dragon 26100 Romans-sur-Isère",,,"locality",0.46504860139860144,excluded,"NOK"
"Rochefort","Rochefort 61800 Tinchebray-Bocage",,,"street",0.6469615151515151,excluded,"NOK"
"Certeaux","Le Certeau 02000 Laniscourt",49.55084,3.539014,"street",0.5121004895104895,review,""
"Chevregny","Chevregny",49.47161,3.591836,"municipality",0.6250115151515151,found,""
"La Royère","La Royere 84240 La Tour-d'Aigues",49.446841,3.556415,"street",0.6454787878787878,corrected,"49.446841, 3.556415"
"Maast-et-Violaine","Maast-et-Violaine",49.286064,3.449963,"municipality",0.7446090909090909,found,""
"Révillon","Les Revillonnes 89240 Diges",49.367200,3.701748,"locality",0.4576365775401069,corrected,"49.367200, 3.701748"
"Hurtebise","Hurtebise 59620 Aulnoye-Aymeries",,,"street",0.6454378787878787,excluded,"NOK"
"plateau de Paissy","Route du plateau d'assy 74190 Passy",49.422898,3.697341,"street",0.43318336898395715,corrected,"49.422898, 3.697341"
"plateau de Californie","Rue Hameau de Californie 86400 Civray",,,"street",0.5141136656891495,excluded,"NOK"
"grottes de Mai","Rue des Grottes 53340 Saulges",,,"street",0.5358254545454545,excluded,"NOK"
"Serval-Barbonval","Rue de Barbonval 02160 Blanzy-lès-Fismes",49.33829,3.671656,"street",0.36547849529780563,review,""
"Cerny","le cerny 85170 Le Poiré-sur-Vie",49.443115,3.667799,"street",0.503630909090909,corrected,"49.443115, 3.667799"
"Bourg","164 Le Bourg 47430 Le Mas-d'Agenais",,,"housenumber",0.709723388429752,excluded,"NOK"
"Commun","Le Commun 35150 Piré-Chancé",,,"street",0.5363768595041322,excluded,"NOK"
"Paissy","Paissy",49.424786,3.70348,"municipality",0.5200877777777778,found,""
"Œuilly","Œuilly",,,"municipality",0.5695227272727272,excluded,"NOK"
"Beuvardes","Beuvardes",49.139942,3.488547,"municipality",0.631121515151515,found,""
"Fresnes","Fresnes",,,"municipality",0.5872127272727272,excluded,"NOK"
"Fère – Saponay","Rue de Fere 02130 Saponay",49.213525,3.481886,"street",0.5533677922077921,corrected,"49.213525, 3.481886"
"Montdidier","Montdidier 35630 Hédé-Bazouges",49.646558,2.570618,"street",0.6711733566433565,corrected,"49.646558, 2.570618"
"Remaugies","Remaugies",49.627638,2.665993,"municipality",0.6234960606060604,validated,"OK"
"Saint-Quentin","Saint-Quentin",49.847398,3.28745,"municipality",0.7262699999999999,found,""
"Ercheu","Ercheu",49.704502,2.947922,"municipality",0.530190505050505,found,""
"Dury","Dury",49.858514,2.274577,"municipality",0.4177076623376623,found,""
"Ollezy","Ollezy",49.733653,3.144167,"municipality",0.5234541414141415,found,""
"Saint-Simon","saint simon 44450 Divatte-sur-Loire",,,"street",0.6910051948051947,excluded,"NOK"
"Raulieu","Aulieu 31560 Nailloux",,,"street",0.4905690909090909,excluded,"NOK"
"cathédrale de Saint-Quentin","Route de la Cathédrale 20217 Saint-Florent",49.841821,3.288196,"street",0.5138762790697674,corrected,"49.841821, 3.288196"
"bois du Sphynx","",,,"",,excluded,"NOK"
"Grand-Séraucourt","Seraucourt-le-Grand",49.781364,3.21154,"municipality",0.5782524110671937,found,""
"Artemps","Artemps",49.763977,3.191394,"municipality",0.5672909090909091,found,""
"route de Saint-Quentin","Route de Saint Quentin 38430 Moirans",49.841821,3.288196,"street",0.8166490909090908,corrected,"49.841821, 3.288196"
"Pire-Aller","Rue du Pire Aller 62132 Fiennes",,,"street",0.5150452631578947,excluded,"NOK"
"Somme","La Somme 23500 Poussanges",,,"street",0.4755681818181817,excluded,"NOK"
"Oestres","Rue d’Oestres 02680 Dallon",49.822741,3.245288,"street",0.4643542424242424,review,""
"Gauchy","Gauchy",49.826081,3.280949,"municipality",0.5389495959595959,found,""
"Grugies","Grugies",49.813366,3.265785,"municipality",0.5728772727272726,found,""
"Dallon","Dallon",49.825987,3.240651,"municipality",0.5276614141414141,found,""
"Noyon","190 Rue de Noyon 60190 Remy",49.572451,2.998309,"housenumber",0.5333566666666667,corrected,"49.572451, 2.998309"
"Quesmy","Quesmy",49.633038,3.059177,"municipality",0.5235332323232323,found,""
"Salency","Salency",49.588166,3.04764,"municipality",0.5713963636363636,found,""
"Mailly","Mailly",48.666544,4.202176,"municipality",0.5228323232323232,corrected,"48.666544, 4.202176"
"camp de Sainte-Tanche","Rue Sainte Tanche 10700 Lhuître",48.569599,4.252323,"street",0.5251777622377621,review,""
"secteur des Hurlus","Parking Secteur des Hotels 33300 Bordeaux",,,"locality",0.41305035812672175,excluded,"NOK"
"Chavannes","Chavannes 37140 Benais",,,"street",0.6435324242424242,excluded,"NOK"
"Vitry-la-Ville","Vitry-la-Ville",48.841614,4.455771,"municipality",0.7170853475935828,found,""
"Somme-Suippes","Somme-Suippe",49.117914,4.578358,"municipality",0.64838,found,""
"Tahure","Rue de Tahure 76620 Le Havre",,,"street",0.42528636363636363,excluded,"NOK"
"plateau de la Pie","Rue du Plateau 44770 Préfailles",,,"street",0.4371187351778656,excluded,"NOK"
"camp F.","Camp Cros 13450 Grans",,,"street",0.4159969696969697,excluded,"NOK"
"Perthes","Perthes",,,"municipality",0.575181818181818,excluded,"NOK"
"butte de Souain","Route de Souain 51600 Suippes",,,"street",0.5880345454545455,excluded,"NOK"
"Pont-Sainte-Maxence","Pont-Sainte-Maxence",49.309303,2.60379,"municipality",0.7816307438016529,found,""
"Verderonne","Verderonne",49.327464,2.492058,"municipality",0.6525333566433567,found,""
"Cinqueux","Cinqueux",49.318343,2.532266,"municipality",0.6071687603305785,found,""
"Cernoy","Cernoy",49.441073,2.537995,"municipality",0.5259377777777777,found,""
"Trois-Etots","Trois Étots 60190 Cernoy",49.44865,2.535251,"street",0.6733879220779221,review,""
"La Montagne","209 montagne 44390 Les Touches",,,"housenumber",0.760053896103896,excluded,"NOK"
"Hémévillers","Hémévillers",49.466321,2.669684,"municipality",0.6723242857142857,found,""
"Elogette","Elogette 60190 Rouvillers",49.438875,2.610935,"street",0.6065278512396693,review,""
"Neufvy","Rue de Neufvy 60190 Gournay-sur-Aronde",49.493809,2.673137,"street",0.3985190909090909,review,""
"Saint-Maur","213 Rue Saint-Maur 75010 Paris",49.612959,1.915612,"housenumber",0.7588198930481281,corrected,"49.612959, 1.915612"
"Gournay","Gournay 50620 Tribehou",,,"street",0.5819727272727272,excluded,"NOK"
"bois du Grand-Cheval","Impasse du Bois Cheval 71600 Poisson",,,"street",0.4530224242424242,excluded,"NOK"
"bois de Ressons","Bois de Tessone 30120 Molières-Cavaillac",,,"locality",0.5052977489177489,excluded,"NOK"
"Aronde","l'Aronde 53170 Ruillé-Froid-Fonds",,,"street",0.5725190909090908,excluded,"NOK"
"route de Compiègne","Route de Compiegne 60800 Crépy-en-Valois",49.243045,2.881758,"street",0.7853107359307359,review,""
"Ressons","Resson 10400 La Saulsotte",49.531895,2.744559,"locality",0.4823745454545454,corrected,"49.531895, 2.744559"
"Canny-sur-Matz","Canny-sur-Matz",49.602124,2.79893,"municipality",0.7175835294117646,found,""
"La Berlière","la Berlière 79310 Saint-Pardoux-Soutiers",,,"street",0.6880651948051948,excluded,"NOK"
"Villers","Villers 77120 Beautheil-Saints",,,"street",0.5915736363636362,excluded,"NOK"
"le Haut Matz","Le Marais du Haut Matz 60490 Ricquebourg",49.5622,2.751966,"locality",0.42402181818181817,found,""
"bois des Loges","Bois des Loges 91410 Saint-Cyr-sous-Dourdan",,,"locality",0.724557165775401,excluded,"NOK"
"le Matz","le Matz 44260 Savenay",,,"street",0.5952154545454545,excluded,"NOK"
"ferme de Canny","Ferme de Canny 60310 Canny-sur-Matz",49.607179,2.78624,"street",0.7207344385026736,review,""
"bois du Verlot","Route du Bois Vélot 03120 Servilly",,,"street",0.5037064822134386,excluded,"NOK"
"Lassigny","Lassigny",49.595024,2.845555,"municipality",0.6065714876033057,found,""
"orme de Canny","Avenue des 3 Ormes 66680 Canohès",,,"street",0.34451149560117295,excluded,"NOK"
"bois de Canny","Rue du Bois Cany 76120 Le Grand-Quevilly",,,"street",0.5560163636363636,excluded,"NOK"
"La Divette","la Divette 49560 Lys-Haut-Layon",,,"street",0.6682197202797202,excluded,"NOK"
"tour Rolland","Rue de la Tour Roland 60310 Lassigny",49.589206,2.837438,"street",0.4606193939393939,review,""
"Lataule","Lataule",49.541154,2.680288,"municipality",0.5622218181818182,found,""
"Montmartin","Montmartin 77120 Mouroux",,,"locality",0.6669724475524474,excluded,"NOK"
"Fresnières","Fresnières",49.622923,2.813712,"municipality",0.6474460839160838,found,""
"Haussu","Haussu 60310 Amy",49.623248,2.829244,"street",0.5338568686868687,review,""
"Catigny","Catigny",49.637121,2.955561,"municipality",0.5641154545454544,found,""
"Cuvilly","Cuvilly",49.553092,2.695049,"municipality",0.5697163636363636,found,""
"Chézy","Chézy",,,"municipality",0.47400545454545456,excluded,"NOK"
"Acy","Acy",49.350997,3.409817,"municipality",0.3901136363636364,found,""
"Bonneil","Bonneil",49.00552,3.347565,"municipality",0.5674499999999999,found,""
"Coincy","Coincy",49.166851,3.420158,"municipality",0.5325923232323232,found,""
"Villeneuve-sur-Fère","Villeneuve-sur-Fère",49.175922,3.475374,"municipality",0.7645489256198347,found,""
"Mont-Notre-Dame","Mont-Notre-Dame",49.291718,3.576586,"municipality",0.7321379797979798,found,""
"canal de l'Aisne","Rue du Canal de l'Aisne 51150 Condé-sur-Marne",49.047921,4.183267,"street",0.6213736363636363,review,""
"Vieil-Arcy","Rue de Vieil Arcy 02160 Pont-Arcy",49.389484,3.625973,"street",0.5047261722488038,review,""
"Hautes-Bruyères","Hautes Bruyères 08290 Blanchefosse-et-Bay",49.760791,4.268092,"street",0.7318216161616161,review,""
"Paars","Paars",49.327407,3.60099,"municipality",0.4757281818181818,found,""
"Seringes","Rue de Seringes 02130 Fère-en-Tardenois",49.199164,3.520083,"street",0.4732793048128342,review,""
"Cohan","Cohan 35590 Saint-Gilles",49.211735,3.641534,"street",0.49184363636363626,corrected,"49.211735, 3.641534"
"Saint-Gilles","Saint Gilles 68920 Wintzenheim",49.280500,3.676812,"street",0.7161675757575757,corrected,"49.280500, 3.676812"
"Courlandon","Courlandon",49.312406,3.735364,"municipality",0.650377902097902,found,""
"Meurival","Meurival",49.358243,3.761284,"municipality",0.592204214876033,found,""
"Aisne","Aisne 44570 Trignac",,,"locality",0.49368636363636353,excluded,"NOK"
"Grand-Hameau","Le Grand Hameau 50390 Biniville",,,"street",0.6715785026737968,excluded,"NOK"
"Baslieux","Baslieux",49.435545,5.755326,"municipality",0.6019714876033057,found,""
"l'Aisne","Rue de l'Aisne 75019 Paris",,,"street",0.455010909090909,excluded,"NOK"
"Romain","258 Voie Romaine 06190 Roquebrune-Cap-Martin",,,"housenumber",0.5984581818181818,excluded,"NOK"
"Breuil","Le Breuil 37300 Joué-lès-Tours",,,"street",0.5497586776859503,excluded,"NOK"
"Unchair","Unchair",49.290315,3.747578,"municipality",0.5643345454545454,found,""
"Courville","Courville 72140 Rouez",,,"street",0.6346642424242424,excluded,"NOK"
"10","N 10 78660 Ablis",,,"locality",0.3386748484848484,excluded,"NOK"
"Concevreux","Concevreux",49.375427,3.780278,"municipality",0.6497051748251748,found,""
"ferme Rouette","Route des 4 Fermes 76110 Saint-Sauveur-d'Émalleville",,,"street",0.43539146245059285,excluded,"NOK"
